lat,lon
37.0675335,-94.44553483
37.06743917,-94.44553967
37.06734433,-94.445543
37.06725067,-94.44554817
37.067158,-94.445552
37.06706733,-94.44555333
37.06697767,-94.44555617
37.066888,-94.44555583
37.06680033,-94.4455595
37.0667125,-94.44556117
37.06662517,-94.44556517
37.06654167,-94.44556883
37.0664625,-94.44557
37.0663885,-94.44557483
37.06631817,-94.44557617
37.06625283,-94.44557583
37.0661945,-94.44557933
37.06614233,-94.44558617
37.06609783,-94.44560467
37.06606283,-94.44563117
37.06603333,-94.4456605
37.06600517,-94.4456805
37.06597717,-94.4456865
37.06595083,-94.445676
37.06593267,-94.4456545
37.065925,-94.4456305
37.06592633,-94.44559967
37.06593917,-94.44557267
37.06596283,-94.44555317
37.06599533,-94.445547
37.06603433,-94.445556
37.0660785,-94.44557283
37.06612967,-94.44558467
37.06618717,-94.44558567
37.06625033,-94.44558133
37.0663175,-94.44557783
37.06639067,-94.44557683
37.06646933,-94.44557567
37.06655533,-94.44556983
37.066646,-94.44556733
37.0667415,-94.44556517
37.06683967,-94.44556083
37.06693517,-94.44555883
37.0670305,-94.44555367
37.067126,-94.44554783
37.067222,-94.44554267
37.06731967,-94.44554033
37.06742017,-94.44554067
37.0675235,-94.44554
37.067631,-94.44553583
37.06774017,-94.44553283
37.06785117,-94.44552917
37.0679635,-94.44552333
37.0680755,-94.44551667
37.06818617,-94.44551267
37.068297,-94.44550683
37.06840517,-94.44550067
37.06851383,-94.44549383
37.06862,-94.445485
37.06872283,-94.44548017
37.06881983,-94.4454745
37.06890783,-94.44546933
37.0689845,-94.44546633
37.06904833,-94.44546133
37.0690915,-94.44545683
37.06911567,-94.44545317
37.0691245,-94.44545183
37.06912633,-94.4454535
37.069127,-94.44545433
37.06912667,-94.44545483
37.06912633,-94.44545683
37.0691255,-94.445458
37.0691255,-94.44546067
37.06912533,-94.445461
37.069125,-94.44546117
37.06912567,-94.44546033
37.06912817,-94.44546283
37.069133,-94.4454645
37.0691465,-94.4454625
37.069169,-94.44546883
37.06919267,-94.44549133
37.06921083,-94.44553933
37.06922067,-94.44560917
37.06922417,-94.44569583
37.06922717,-94.44579583
37.06922933,-94.44590317
37.0692305,-94.44600633
37.06923183,-94.4461005
37.0692325,-94.44618583
37.069235,-94.446259
37.069236,-94.44631917
37.06923617,-94.44636733
37.06923717,-94.446408
37.0692375,-94.4464475
37.0692335,-94.44648767
37.06921733,-94.4465245
37.06918883,-94.44655167
37.06914683,-94.44656367
37.06909767,-94.44656733
37.06904467,-94.44657483
37.06898367,-94.44657883
37.06891683,-94.44658033
37.06884817,-94.44658617
37.0687785,-94.44659217
37.06870517,-94.44660117
37.06862783,-94.44660783
37.0685455,-94.44660867
37.0684595,-94.44660533
37.068371,-94.446605
37.06828283,-94.44660867
37.06819683,-94.44661033
37.06811617,-94.4466125
37.06803767,-94.44661383
37.06796283,-94.44661667
37.06788983,-94.44661933
37.06781983,-94.446623
37.06775117,-94.44662733
37.06768233,-94.44663333
37.06761233,-94.4466385
37.06754117,-94.44664333
37.06746633,-94.44664333
37.0673895,-94.44664483
37.06731033,-94.446647
37.06722933,-94.446648
37.06714617,-94.44664867
37.06706233,-94.44665317
37.06697683,-94.44665633
37.06689067,-94.44666
37.0668035,-94.44666483
37.0667155,-94.44667
37.06662717,-94.4466745
37.06654133,-94.4466795
37.06645867,-94.44668167
37.0663805,-94.44668433
37.0663085,-94.44668767
37.06624217,-94.446692
37.0661815,-94.44669517
37.06612833,-94.4467055
37.06608467,-94.44672817
37.066054,-94.4467645
37.06604033,-94.44681083
37.06603767,-94.44686533
37.06604117,-94.44692633
37.066047,-94.446992
37.06604817,-94.44706367
37.06605017,-94.44714033
37.06605317,-94.44722083
37.06605133,-94.44730033
37.06605117,-94.44737917
37.06605033,-94.447459
37.06605283,-94.44753783
37.06606183,-94.44761033
37.06607833,-94.44767167
37.0660965,-94.44772083
37.066109,-94.447761
37.06611233,-94.44779633
37.0661065,-94.44782483
37.06609183,-94.44784183
37.066074,-94.4478465
37.06605417,-94.447839
37.06604,-94.44781883
37.066036,-94.4477895
37.06604117,-94.44774967
37.06605133,-94.4477
37.06605683,-94.44764217
37.06605817,-94.44757867
37.06605767,-94.44751
37.066057,-94.44743583
37.0660575,-94.44736
37.06605833,-94.44728483
37.06605883,-94.44721467
37.06606067,-94.4471505
37.06606217,-94.44709783
37.066064,-94.447061
37.0660645,-94.44704117
37.06606433,-94.44703633
37.06606533,-94.44703567
37.066066,-94.447035
37.066066,-94.44703467
37.06606533,-94.447037
37.06606533,-94.447037
37.06606567,-94.44703667
37.066066,-94.44703733
37.06606617,-94.44703817
37.06606667,-94.447039
37.06606733,-94.44703967
37.06606783,-94.44704
37.06606817,-94.4470405
37.066069,-94.44704067
37.06606983,-94.44704067
37.06606983,-94.44704133
37.06606967,-94.44704183
37.066071,-94.44704133
37.06607083,-94.4470415
37.06607033,-94.44704183
37.06607083,-94.447042
37.06607083,-94.44704217
37.06606983,-94.44704267
37.0660695,-94.44704317
37.06606983,-94.44704333
37.0660705,-94.44704333
37.06607017,-94.44704383
37.06607033,-94.44704417
37.0660705,-94.44704433
37.06607,-94.44704483
37.06607,-94.447045
